Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,,
1,2.533333,0.4081475,1.1401257,0.04096476,-0.1973494,0.5106307,-0.6485397,0.5288721,,
1,2.544444,0.4123366,1.1454702,0.03669777,-0.216926,0.5190812,-0.6462448,0.5156214,,
1,2.555555,0.4155944,1.1520236,0.03390063,-0.2374482,0.5279489,-0.6414459,0.5034236,,
1,2.566666,0.4190735,1.1591197,0.03175989,-0.2591713,0.5348105,-0.6359477,0.4923194,,
1,2.577777,0.422455,1.1663764,0.02952705,-0.2792224,0.539377,-0.6308413,0.4828525,,
1,2.588888,0.4256595,1.1743925,0.02912902,-0.2984632,0.542293,-0.6221845,0.4792958,,
1,2.599999,0.4283904,1.1828892,0.02992733,-0.3133259,0.5454694,-0.6087382,0.483454,,
1,2.61111,0.430369,1.1914783,0.0309293,-0.3245508,0.5450791,-0.5944126,0.4941955,,
1,2.622221,0.4322073,1.1999241,0.03232513,-0.3330889,0.5377203,-0.5842155,0.5085284,,
1,2.633332,0.4342107,1.2085239,0.03331426,-0.3408782,0.5287285,-0.5760936,0.5218856,,
1,2.644443,0.4341084,1.216405,0.03648446,-0.3422379,0.512163,-0.5707229,0.5429894,,
1,2.655554,0.4339099,1.22498,0.0405642,-0.3401175,0.496708,-0.5652111,0.564037,,
1,2.666665,0.4326215,1.233095,0.04549988,-0.334152,0.479562,-0.5596193,0.5875279,,
1,2.677776,0.4303519,1.241281,0.05086667,-0.3249477,0.4607249,-0.5535605,0.6129537,,
1,2.688887,0.4282752,1.24854,0.05599659,-0.3171832,0.444095,-0.5471259,0.6346872,,
1,2.699998,0.4248782,1.254564,0.06245467,-0.3040884,0.424316,-0.5405269,0.6597854,,
1,2.711109,0.4216269,1.260354,0.06886296,-0.2918698,0.4056024,-0.533201,0.6826385,,
1,2.72222,0.41593,1.264308,0.07677501,-0.2740948,0.3891679,-0.5258349,0.704924,,
1,2.733331,0.4104833,1.27027,0.08408965,-0.2592221,0.374324,-0.5183073,0.7239081,,
1,2.744442,0.4034723,1.273161,0.09199525,-0.2374628,0.3618385,-0.5153903,0.739633,,
1,2.755553,0.3980565,1.277816,0.09926583,-0.2196697,0.3465696,-0.5100671,0.7559538,,
1,2.766664,0.3900215,1.278939,0.107098,-0.1951776,0.3341591,-0.512831,0.766321,,
1,2.777775,0.3830956,1.280573,0.114663,-0.1728935,0.3198625,-0.5129626,0.7776023,,
1,2.788886,0.375016,1.280054,0.1222189,-0.1495113,0.3058336,-0.5149428,0.7867313,,
1,2.799997,0.3666095,1.278331,0.1292022,-0.1265314,0.2927169,-0.5165083,0.7946859,,
1,2.811108,0.3577914,1.276009,0.1359828,-0.1028993,0.2802083,-0.5167819,0.8023912,,
1,2.822219,0.3484368,1.272847,0.1421609,-0.07775848,0.2682977,-0.51785,0.8085798,,
1,2.83333,0.338396,1.26938,0.148491,-0.05187586,0.2576413,-0.5182539,0.8138444,,
1,2.844441,0.3284158,1.265813,0.15451,-0.02664058,0.2469832,-0.5173563,0.8189213,,
1,2.855552,0.3167238,1.260583,0.1600395,-0.002378389,0.2384246,-0.5143066,0.8237941,,
1,2.866663,0.3048527,1.255232,0.1648043,0.02113025,0.2296754,-0.509244,0.8291401,,
1,2.877774,0.2929612,1.249205,0.1691684,0.04466679,0.2188371,-0.5038769,0.8343999,,
1,2.888885,0.2813736,1.243913,0.173293,0.06918596,0.2062888,-0.4991841,0.8387333,,
1,2.899997,0.2692809,1.237562,0.1767033,0.095011,0.1905425,-0.494227,0.8428559,,
1,2.911108,0.2579425,1.231885,0.1793307,0.1190094,0.1736183,-0.4888665,0.8465831,,
1,2.922219,0.2466692,1.226513,0.1813232,0.1428756,0.1548212,-0.4826347,0.8501064,,
1,2.93333,0.2350054,1.220577,0.1839167,0.1648909,0.1349521,-0.4756735,0.8534247,,
1,2.944441,0.2239391,1.215372,0.1861087,0.1861723,0.1153381,-0.4670082,0.8567032,,
1,2.955552,0.2123215,1.2099423,0.1883761,-0.2043262,-0.09553394,0.4545431,-0.8616929,,
1,2.966663,0.2007724,1.2052099,0.1902518,-0.2217394,-0.07715689,0.4424807,-0.8654994,,
1,2.977774,0.1885857,1.200859,0.1919691,-0.2355908,-0.05998483,0.4306,-0.8691849,,
1,2.988885,0.1764819,1.1965789,0.1932483,-0.2478018,-0.04331926,0.42224,-0.8708795,,
1,2.999996,0.1651452,1.1934468,0.194723,-0.2597426,-0.02606171,0.4185696,-0.8698586,,
1,3.011107,0.1543826,1.190369,0.1962481,-0.2730791,-0.008334644,0.4187658,-0.8660217,,
1,3.022218,0.143195,1.1878388,0.1974028,-0.2858687,0.007744767,0.4174115,-0.8625467,,
1,3.033329,0.1324545,1.1862354,0.1988046,-0.2971673,0.02165917,0.4168535,-0.8587524,,
1,3.04444,0.1214644,1.1850179,0.2001085,-0.3068548,0.03465674,0.4141521,-0.8562225,,
1,3.055551,0.110474,1.1839986,0.2009935,-0.3152284,0.0477389,0.410826,-0.8541511,,
1,3.066662,0.09961981,1.1839687,0.2012322,-0.3213257,0.06064335,0.4069553,-0.8529123,,
1,3.077773,0.09005959,1.1846218,0.2016993,-0.326779,0.07603119,0.4023499,-0.8517917,,
1,3.088884,0.08037322,1.1848007,0.2025589,-0.3336904,0.09216525,0.3973294,-0.849874,,
1,3.099995,0.07101263,1.1859438,0.2025714,-0.3389915,0.1096983,0.3908121,-0.8487149,,
1,3.111106,0.06244045,1.1874793,0.202606,-0.3438486,0.1263464,0.3846122,-0.847277,,
1,3.122217,0.05378374,1.1893665,0.2021149,-0.3487846,0.1419874,0.379845,-0.8449299,,
1,3.133328,0.04526255,1.1913197,0.2019348,-0.3538841,0.1569499,0.3758463,-0.8419455,,
1,3.144439,0.03755909,1.1936211,0.2007623,-0.3577439,0.1712171,0.3731579,-0.8387235,,
1,3.15555,0.02989896,1.1960073,0.2000062,-0.3614837,0.186041,0.3696322,-0.835518,,
1,3.166661,0.0230733,1.1984403,0.1983892,-0.3632506,0.2009733,0.3665865,-0.8326302,,
1,3.177772,0.0174232,1.201389,0.1967966,-0.3639184,0.2169515,0.3622587,-0.8302192,,
1,3.188883,0.01130807,1.2042262,0.1956011,-0.3658702,0.2322937,0.3574774,-0.8272778,,
1,3.199994,0.006129101,1.2072543,0.1940935,-0.3678535,0.2474544,0.3519152,-0.8243822,,
1,3.211105,0.000922099,1.210291,0.1927092,-0.3700699,0.2620938,0.3462065,-0.8212771,,
1,3.222216,-0.00350143,1.214012,0.1910137,-0.3723757,0.2754415,0.3405529,-0.8182249,,
1,3.233327,-0.008031189,1.217251,0.189192,-0.3739524,0.2892622,0.3350684,-0.8149946,,
1,3.244438,-0.01176885,1.220378,0.187323,-0.3748256,0.3028317,0.32958,-0.8118964,,
1,3.255549,-0.01541579,1.223731,0.1854659,-0.3757411,0.3168283,0.3236972,-0.8084915,,
1,3.26666,-0.01820423,1.226931,0.18391,-0.376591,0.3314026,0.3169746,-0.8049091,,
1,3.277771,-0.02061094,1.230634,0.1827502,-0.3774599,0.3468858,0.3082652,-0.801353,,
1,3.288882,-0.02265546,1.234405,0.1816179,-0.3781432,0.3619806,0.2983386,-0.7981051,,
1,3.299993,-0.02460921,1.238346,0.1806056,-0.3775238,0.3759046,0.2876674,-0.7958763,,
1,3.311104,-0.02627385,1.242644,0.1795813,-0.3763557,0.388896,0.2777598,-0.7937038,,
1,3.322215,-0.02788678,1.246814,0.1789701,-0.3749124,0.4014258,0.2680841,-0.7914727,,
1,3.333326,-0.02938157,1.251001,0.1783456,-0.3732891,0.413903,0.2586167,-0.7889594,,
1,3.344437,-0.03058392,1.255644,0.1781624,-0.36984,0.4257662,0.248197,-0.7876166,,
1,3.355548,-0.03116551,1.260192,0.1779162,-0.3641276,0.4385703,0.2365697,-0.7868303,,
1,3.366659,-0.03221042,1.26513,0.1780684,-0.3579973,0.4507012,0.22524,-0.7861128,,
1,3.37777,-0.03257053,1.270391,0.1780569,-0.3502071,0.4614616,0.2144771,-0.7863891,,
1,3.388881,-0.03301105,1.276231,0.1785432,-0.3430684,0.4699493,0.2057008,-0.7868538,,
1,3.399992,-0.03365146,1.282772,0.1792587,-0.3352788,0.4761525,0.1989862,-0.7882077,,
1,3.411103,-0.03397198,1.289241,0.1793698,-0.3246103,0.4817725,0.1944015,-0.7903997,,
1,3.422215,-0.03421278,1.296068,0.1796922,-0.3110498,0.4859647,0.1923109,-0.7937902,,
1,3.433326,-0.0343868,1.302727,0.1796211,-0.2976879,0.4895319,0.1901775,-0.7972283,,
1,3.444437,-0.03472301,1.312658,0.1792486,-0.2771594,0.4887994,0.1915888,-0.8047059,,
1,3.455548,-0.03463914,1.318074,0.1782348,-0.264134,0.4852951,0.1941947,-0.8105618,,
1,3.466659,-0.03465329,1.325527,0.1764166,-0.2449901,0.4772517,0.2004845,-0.8197662,,
1,3.47777,-0.03448972,1.334147,0.1751029,-0.2256476,0.4708384,0.2099747,-0.8266225,,
1,3.488881,-0.03384218,1.342951,0.174508,-0.2083471,0.4672575,0.2230294,-0.8297709,,
1,3.499992,-0.03306624,1.351601,0.1744899,-0.1928751,0.4671853,0.2367089,-0.8297626,,
1,3.511103,-0.0321822,1.360803,0.1744135,-0.1774801,0.4675428,0.2488548,-0.829443,,
1,3.522214,-0.03091159,1.370528,0.1743605,-0.1619849,0.46986,0.2613254,-0.8274669,,
1,3.533325,-0.02963893,1.380356,0.1736628,0.1447401,-0.4719093,-0.2713479,0.82627,,
1,3.544436,-0.02848923,1.390085,0.1726423,0.1245523,-0.4734341,-0.2806523,0.8255792,,
1,3.555547,-0.02729541,1.398795,0.1718468,0.1035156,-0.4743655,-0.2894646,0.8249074,,
1,3.566658,-0.02615747,1.408251,0.1701082,0.08164512,-0.4756681,-0.2976626,0.8236935,,
1,3.577769,-0.02456418,1.41806,0.1682526,0.06167661,-0.4766962,-0.3054202,0.8219947,,
1,3.58888,-0.02340269,1.427219,0.166483,0.04236203,-0.4786935,-0.3135018,0.8190084,,
1,3.599991,-0.02159862,1.435892,0.1641972,0.02704743,-0.483452,-0.3243252,0.8126228,,
1,3.611102,-0.01798162,1.443696,0.1616785,0.01100034,-0.4876393,-0.3355327,0.8059186,,
1,3.622213,-0.01665521,1.450867,0.1596075,-0.001604065,-0.4934857,-0.3457437,0.7980793,,
1,3.633324,-0.01486622,1.458568,0.157647,-0.01482184,-0.4994618,-0.3544442,0.7903717,,
1,3.644435,-0.01349659,1.464925,0.1559796,-0.02489193,-0.5075113,-0.3602778,0.7823124,,
1,3.655546,-0.01212388,1.470173,0.154064,-0.03548704,-0.5146728,-0.3601586,0.7772634,,
1,3.666657,-0.01102903,1.476101,0.1525235,-0.04789105,-0.5193768,-0.3612734,0.7729397,,
1,3.677768,-0.008699805,1.482673,0.1496323,-0.05994529,-0.5238354,-0.3599266,0.7697115,,
1,3.688879,-0.008072153,1.486522,0.1476689,-0.07106461,-0.52627,-0.3553345,0.769238,,
1,3.69999,-0.007954121,1.489504,0.1465074,-0.07861429,-0.5285484,-0.3524111,0.7682857,,
1,3.711101,-0.007508874,1.492396,0.1450537,-0.08576091,-0.53197,-0.3515164,0.7655647,,
1,3.722212,-0.007055894,1.494501,0.1440486,-0.08772253,-0.5353706,-0.3511141,0.7631527,,
1,3.733323,-0.006681085,1.495816,0.1430997,-0.08690737,-0.5382991,-0.3503488,0.7615358,,
1,3.744434,-0.00631845,1.496892,0.1428557,-0.08361126,-0.5405917,-0.3479044,0.7614015,,
1,3.755545,-0.006018043,1.498666,0.1423377,-0.08214206,-0.5427318,-0.3445351,0.7615711,,
1,3.766656,-0.005717725,1.498874,0.1426045,-0.07800512,-0.5429006,-0.3392616,0.7642484,,
1,3.777767,-0.005330086,1.498557,0.1418911,-0.07576984,-0.5406914,-0.3339491,0.7683682,,
1,3.788878,-0.005363032,1.497894,0.142107,-0.07389782,-0.5384344,-0.3293477,0.7721124,,
1,3.799989,-0.005795226,1.494951,0.1426287,-0.07211985,-0.5343158,-0.3273585,0.775978,,
1,3.8111,-0.006322414,1.492574,0.1432677,-0.06982383,-0.5317444,-0.326316,0.7783896,,
1,3.822211,-0.006794214,1.488704,0.1446413,-0.06598815,-0.5280826,-0.3276815,0.7806401,,
1,3.833322,-0.007412151,1.484202,0.1459469,-0.06043939,-0.5243673,-0.3293961,0.7828692,,
1,3.844433,-0.007738486,1.479837,0.1476243,-0.05399697,-0.520441,-0.3305377,0.7854746,,
1,3.855544,-0.007874027,1.473873,0.1501056,-0.04315054,-0.5161378,-0.3312838,0.7886639,,
1,3.866655,-0.008103043,1.468614,0.1523377,-0.03376251,-0.5117592,-0.3307338,0.7921981,,
1,3.877766,-0.008176133,1.462262,0.1549458,-0.02251375,-0.5052736,-0.3288827,0.7975135,,
1,3.888877,-0.008416101,1.455054,0.1573235,-0.01257849,-0.4959569,-0.326283,0.8046165,,
1,3.899988,-0.008809403,1.447432,0.1598495,-0.003287613,-0.4859928,-0.3240704,0.8116518,,
1,3.911099,-0.009401411,1.439553,0.1623886,0.006043434,-0.4763182,-0.3224821,0.8179791,,
1,3.92221,-0.01001869,1.430579,0.1651821,0.0162998,-0.4660698,-0.3221156,0.8238657,,
1,3.933321,-0.01060964,1.420998,0.1685775,0.02872299,-0.4566385,-0.3229387,0.8284727,,
1,3.944432,-0.01100326,1.411104,0.1720341,0.0436037,-0.4471779,-0.3248736,0.8322186,,
1,3.955544,-0.01122855,1.401273,0.1754813,0.05898213,-0.4377035,-0.3267122,0.8355811,,
1,3.966655,-0.01096065,1.390354,0.179209,0.07500374,-0.4280991,-0.3279108,0.8387968,,
1,3.977766,-0.01023218,1.379084,0.1823806,0.0883172,-0.4173802,-0.325648,0.8437696,,
1,3.988877,-0.009639964,1.367157,0.1845659,0.09538673,-0.4042135,-0.318477,0.8521063,,
1,3.999988,-0.009240463,1.355303,0.1865238,0.1009195,-0.3906645,-0.3102127,0.8607931,,
1,4.011099,-0.008497551,1.342921,0.1883923,0.1068619,-0.3767306,-0.2990452,0.8701876,,
1,4.02221,-0.006538227,1.331203,0.1901904,0.1204399,-0.3660223,-0.293733,0.8747816,,
1,4.033321,-0.00480324,1.319089,0.1926064,-0.1367183,0.3553689,0.2912054,-0.8776221,,
1,4.044433,-0.001560122,1.307037,0.1944273,-0.1601423,0.3441401,0.2943764,-0.8770772,,
1,4.055544,0.001433238,1.295294,0.1961406,-0.1784419,0.3315908,0.2942498,-0.8784208,,
1,4.066655,0.005335912,1.283653,0.1972037,-0.1945588,0.3171539,0.2927262,-0.8808357,,
1,4.077766,0.009508207,1.271866,0.1976304,-0.2047881,0.3019297,0.2862789,-0.8859711,,
1,4.088878,0.01430708,1.260726,0.1975242,-0.2137461,0.2858961,0.2770135,-0.8920984,,
1,4.099989,0.01902229,1.249865,0.1978759,-0.2239554,0.2709934,0.2692693,-0.896605,,
1,4.1111,0.02499416,1.23928,0.1981588,-0.2359824,0.256581,0.2630805,-0.8995927,,
1,4.122211,0.03240769,1.229552,0.1982743,-0.2487746,0.2425059,0.2604143,-0.9008255,,
1,4.133323,0.03999254,1.219198,0.1984084,-0.2612315,0.2272114,0.2600014,-0.9014058,,
1,4.144434,0.0485816,1.210197,0.1980797,-0.2720706,0.2115218,0.2619002,-0.901468,,
1,4.155545,0.05708349,1.201018,0.1978731,-0.2825072,0.194563,0.2621841,-0.9019946,,
1,4.166656,0.06689858,1.1940709,0.1969838,-0.2901225,0.1751999,0.2606904,-0.903977,,
1,4.177768,0.0769265,1.1881395,0.1964975,-0.2957255,0.1557712,0.2553904,-0.9072252,,
1,4.188879,0.0876767,1.1833444,0.1965822,-0.3010479,0.1377241,0.2480444,-0.9104264,,
1,4.19999,0.09924195,1.1798359,0.1969957,-0.3054211,0.1207258,0.2419648,-0.9130149,,
1,4.211102,0.1104362,1.1759128,0.1975836,-0.3100576,0.1034113,0.2382618,-0.9145499,,
1,4.222213,0.1220991,1.1746541,0.1985711,-0.3119557,0.08503114,0.2382214,-0.9158078,,
1,4.233324,0.1332196,1.1741011,0.1997382,-0.3126556,0.06390548,0.2421115,-0.9162667,,
1,4.244435,0.1436808,1.1753203,0.2016633,-0.3118158,0.04069586,0.2488657,-0.916068,,
1,4.255547,0.1536989,1.1765044,0.2042464,-0.3104649,0.01759777,0.2548363,-0.9156201,,
1,4.266658,0.1629204,1.180453,0.2078438,-0.3060139,-0.007170297,0.2621439,-0.9151965,,
1,4.277769,0.1705042,1.1861941,0.2125391,-0.2987105,-0.03127823,0.2668733,-0.915736,,
1,4.28888,0.1780343,1.1928244,0.2176007,-0.2899671,-0.05315754,0.2724265,-0.9159023,,
1,4.299992,0.1846411,1.1995949,0.2229319,-0.2798306,-0.07372511,0.280992,-0.9150426,,
1,4.311103,0.1907037,1.2078482,0.2284347,0.263015,0.0901661,-0.2965148,0.9136586,,
1,4.322214,0.1946173,1.217119,0.2342027,0.2413635,0.1039431,-0.3186046,0.9107308,,
1,4.333325,0.1991388,1.226047,0.2402257,0.2204601,0.1180245,-0.3410424,0.9061775,,
1,4.344437,0.2005127,1.237023,0.2461304,0.1943545,0.1277013,-0.3703567,0.8993078,,
1,4.355548,0.2011366,1.249508,0.2515121,0.1659099,0.1314656,-0.3990027,0.8921813,,
1,4.366659,0.2028386,1.261358,0.2575899,0.1411582,0.1368174,-0.4184358,0.886717,,
1,4.37777,0.2017793,1.274047,0.2626681,0.1143975,0.1348995,-0.4295884,0.8855332,,
1,4.388882,0.1999459,1.287889,0.2676645,0.09012331,0.1306619,-0.4319925,0.8877994,,
1,4.399993,0.1977212,1.302048,0.272703,0.07010542,0.1225694,-0.4316707,0.890911,,
1,4.411104,0.1951452,1.315914,0.2768934,0.05135398,0.1131464,-0.4333113,0.8926377,,
